,comment,id,rating,Вопрос решен,Лишнее,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки
433,"Отличный специалист, вопрос решен. Спасибо.",3923512,5,1,0,0,1,0,1
434,устранили неполадку очень оперативно и качественно. большое спасибо.,3923554,5,1,0,1,0,1,1
435,"Сделали после того,как написали в наш город заявки соседи ",3923598,1,0,1,0,0,0,0
436,"Оперативно и быстро,спасибо Сергею!",3923670,5,0,0,0,1,1,0
437,спасибо) вы классные 🥰,3923717,5,0,0,0,0,0,1
438,Спасибо большое 🌹,3923812,5,0,0,0,0,0,1
439,в лучшем виде,3923890,5,0,0,0,0,0,1
440,"Благодарю за оперативное устранение проблемы! Отдельная благодарность мастеру за подробное разъяснение о причинах отсутствия горячейводы, приятное общение и человеческое отношение!!!",3924204,5,1,0,0,1,1,1
441,Спасибо большое вам за работу!,3924205,5,1,0,0,0,0,1
442,"все быстро и оперативно 
",3924313,5,0,0,0,0,1,0
443,"Вопрос решен,ну мусорка снова полная.можно поставить два контейнера? ",3924411,4,1,0,0,0,0,0
444,"Спасибо! Не делайте так больше, или хотя бы заранее предупреждайте о раннем отключении воды, чтоб люди с вечера успели её набрать!! ",3924430,5,0,0,0,0,0,1
445,Приехали быстро. Спасибо!,3924431,5,0,0,0,0,1,1
446,Всё быстро . Работа выполнена,3924473,5,1,0,0,0,1,0
447,Благодарю за оперативность!,3924547,5,0,0,0,0,1,0
448,"спасибо, отлично ",3924568,5,0,0,0,0,0,1
449,спасибо за быструю реакцию!,3924647,5,0,0,0,0,1,0
450,Все супер,3924661,5,0,0,0,0,0,1
451,все отлично.,3924685,5,0,0,0,0,0,1
452,Претензий нет,3924836,5,0,0,0,0,0,1
453,"Спасибо большое мастеру, все починил, объяснил! ",3924911,5,1,0,0,1,0,0
454,спасибо большое всем кто помог решить данную проблему,3925142,5,1,0,0,0,0,1
455,"Спасибо огромное Петрине Оксане Вдадимировне. Из 5 заявок  только она смогла правильно ответить на заявку. А остальных можете увольнять ,работают видно для галочки.",3925271,5,1,0,0,1,0,0
456,Спасибо огромное,3925293,5,0,0,0,0,0,1
457,Все очень хорошо,3925338,5,0,0,0,0,0,1
458,Быстро и четко!)),3925362,5,0,0,0,0,1,1
459,замечательный шутро и быстро сделали Молодец 👍,3925459,5,1,0,0,1,1,0
460,спасибо. решили оперативно!,3925547,5,0,0,0,0,1,1
461,Быстро качественно,3925566,5,0,0,1,0,1,0
462,Отличный специалист!,3925616,5,0,0,0,1,0,0
463,Спасибо Никита💪,3925656,5,0,0,0,1,0,0
464,Оперативно. Очень вежливый сантехник. Приятно было общаться и получить решение проблемы через 25 минут. Спасибо.,3925871,5,1,0,0,1,1,1
465,Отлично,3926087,5,0,0,0,0,0,1
466,спасибо за информацию!,3926222,5,0,0,0,0,0,1
467,Очень нравится что стали поливать газон,3926410,5,0,0,0,0,0,1
468,мастер супер!!!,3926559,5,0,0,0,1,0,0
469,спасибо большое за скорость,3926660,5,0,0,0,0,1,0
470,Спасибо дежурному сантехнику,3926685,5,0,0,0,1,0,0
471,Спасибо большое!,3926753,5,0,0,0,0,0,1
472,"оперативно,спасибо",3926829,5,0,0,0,0,1,0
473,Сотрудник позвонил и всё понятно объяснил. Спасибо.,3926847,5,1,0,0,1,0,1
474,Спасибо Вам Татьяна. Хорошего дня 🤝👍😎,3926885,5,0,0,0,1,0,0
475,Благодарю УК за оперативность и решение моего вопроса.,3926964,5,1,0,0,0,1,0
476,"Сотрудник супер,вежливый и работа выполнена на 5+",3927330,5,1,0,0,1,0,1
477,Спасибо. Очень быстро приняли меры.,3927378,5,0,0,0,0,1,1
478,Все доступно объяснили.,3927480,5,0,0,0,0,0,1
479,"Отличный специалист. Все показал, рассказал объяснил.",3927514,5,0,0,0,1,0,1
480,"отзывчивые менеджеры, всем спасибо за быстроту",3927621,5,0,0,0,1,1,0
481,"Дана консультация, жду решения",3927634,5,0,1,0,0,0,0
482,Благодарю,3927641,5,0,0,0,0,0,1
483,Очень оперативно! Спасибо большое!!!,3927735,5,0,0,0,0,1,0
484,Оперативно и четко решен вопрос. Благодарю.,3927815,5,1,0,0,0,1,1
485,все на высшем уровне,3927826,5,0,0,0,0,0,1
486,Спасибо 👍🏻👍🏻👍🏻,3927830,5,0,0,0,0,0,1
487,"Спасибо,что включили кран ",3927965,5,1,0,0,0,0,1
488,Лучший специалист! Спасибо,3928090,5,0,0,0,1,0,0
489,"проблема не решена,но даны исчерпывающие разъяснения и рекомеедации",3928119,5,0,1,0,0,0,0
490,Идеально!,3928138,5,0,0,0,0,0,1
491,спасибо большое за помощь!Мария решила быстро вопрос.Настоящий специалист.,3928192,5,1,0,0,1,1,1
492,"Супер, спасибо !",3928281,5,0,0,0,0,0,1
493,"все прошло быстро,спасибо сотруднику. ",3928288,5,0,0,0,1,1,0
494,"Благодаря помощи Анастасии, быстро всё решили. Отличная, оперативная работа",3928290,5,1,0,1,1,1,1
495,Быстро и оперативно спасибо мастеру,3928297,5,0,0,0,1,1,0
496,Спасибо за вашу работу!,3928345,5,0,0,0,0,0,1
497,Все устранили в короткие сроки. Молодцы,3928349,5,1,0,0,0,1,0
498,"быстро, качественно, без лишних вопросов и нюансов ",3928497,5,0,0,1,0,1,0
499,"оперативно,  качественно! спасибо!",3928714,5,0,0,1,0,1,0
500,отличная работа,3928825,5,0,0,0,0,0,1
501,спасибо за быстрое решение вопроса!,3928888,5,1,0,0,0,1,0
502,Спасибо за вашу работу,3928911,5,0,0,0,0,0,1
503,очень оперативно. спасибо,3929011,5,0,0,0,0,1,0
504,Мгновенно. Спасибо,3929431,5,0,0,0,0,1,1
505,"Оказалось, что это не авария, а нюансы системы водоснабжения и отопления.
Всё подробно объяснили, спасибо!)",3929549,5,1,0,0,0,0,1
506,"Спасибо. Отличная работа, прекрасный коллектив ",3929557,5,0,0,0,1,0,1
507,Спасибо) Оперативно устранили проблему.,3929624,5,1,0,0,0,1,1
508,"быстро понятно спасибо 
",3929881,5,0,0,0,0,1,1
509,вопрос решен,3929910,5,1,0,0,0,0,0
510,Спасибо за проявленное участие и инциативу.,3929918,4,0,1,0,0,0,0
511,Ок.,3929919,5,0,0,0,0,0,1
512,Хоть на заявки быстро отреагировали,3929997,5,0,0,0,0,1,0
513,Заменили,3930019,5,1,0,0,0,0,0
514,Спасибо большое за оперативное реагирование и устранение неисправностей!,3930202,5,1,0,0,0,1,0
515,Большое спасибо за оперативность решения вопроса!,3930255,5,1,0,0,0,1,0
516,Спасибо за оперативность.,3930372,5,0,0,0,0,1,0
517,грамотный специалист.,3930387,5,0,0,0,1,0,0
518,"Электрик быстро пришёл и всё устранил! Спасибо, очень доволен работой! ",3930751,5,1,0,0,1,0,1
519,"Спасибо за оперативность, желательно проверить и другие столбы освещения ",3930767,5,0,0,0,0,1,0
520,быстро умтранили,3930866,5,1,0,0,0,1,0
521,Оперативно и качественно мастер решил проблему! Огромное спасибо ему.,3930927,5,1,0,0,1,1,0
522,"Быстро исправили, спасибо!",3931016,5,1,0,0,0,1,0
523,Молодцы!,3931167,5,0,0,0,0,0,1
524,Супер!!!!,3931178,5,0,0,0,0,0,1
525,Благодарю за помощь!,3931695,5,0,0,0,0,0,1
526,"Оперативно, аккуратно, в удобное время. ",3932129,5,0,0,0,0,1,1
527,"Быстро обработали заявку, спасибо за оперативность",3932312,5,0,0,0,0,1,0
528,Благодарю !,3932396,5,0,0,0,0,0,1
529,Спасибо большое,3932417,5,0,0,0,0,0,1
530,"Молодцы, спасибо ",3932459,5,0,0,0,0,0,1
531,Всё сделали отлично,3932495,5,1,0,0,0,0,1
532,Хороший мастер сделал всё быстро,3932575,5,1,0,0,1,1,0
533,проблема решена после того как сходил в офис и разьяснил на пальцах,3932622,3,0,1,0,0,0,0
534,"Работа выполнена,  в кратчайший срок. Благодарю ",3932847,5,1,0,0,0,1,1
535,"Мастер пришел на следующий день и ответил на все вопросы, выдал рекомендации по устранению проблемы. Спасибо!",3932946,5,0,0,0,1,1,1
536,Все сделали очень быстро! Спасибо большое!,3932950,5,0,0,0,0,1,1
537,"При личном общении были решены все вопросы, полное взаимопонимание, отлично выполненная работа... ",3932971,5,1,0,0,0,0,1
538,супер оперативно,3933004,5,0,0,0,0,1,0
539,Всё супер,3933019,5,0,0,0,0,0,1
540,Спасибо большое за оперативность,3933121,5,0,0,0,0,1,0
541,"Спасибо, всё оперативно сделано!",3933123,5,1,0,0,0,1,0
542,"спасибо,отреагировали очень быстро!",3933159,5,0,0,0,0,1,0
543,"очень быстро отреагировали..посмотрим ,как дальше будет..",3933243,5,0,0,0,0,1,0
544,"Здравствуйте. Спасибо Геннадию за работу. Все проверил и решил работу. Просьба если ранее вопрос не решен, то не закрывать заявки просто так, а передавать информацию специалистам в указанной сфере. ",3933289,5,1,0,0,1,0,0
545,"Благодарю за оперативное решение. Ответственный сотрудник держал меня в курсе выполнения заявки,за что ему отдельное спасибо.Очень клиентоориентированный подход! Спасибо!",3933331,5,1,0,0,1,1,1
546,спасибо! очень оперативно! 5+,3933373,5,0,0,0,0,1,1
547,"Вауу, супер спасибо",3933799,5,0,0,0,0,0,1
548,Наконец то.  Спасибо.,3933980,5,0,0,0,0,0,1
549,"Огромное спасибо, очень помогли! Быстро и профессионально! ",3934049,5,0,0,1,0,1,1
550,"все нормально, спасибо


",3934120,5,0,0,0,0,0,1
551,"Спасибо огромное Татьяне, вопрос решился очень оперативно и четко. ",3934243,5,1,0,0,1,1,0
552,Большое спасибо мастеру 👍,3934321,5,0,0,0,1,0,0
553,"Спасибо оператору,  деж. (аварийной) смене за оперативную работу!!!",3934485,5,0,0,0,1,1,0
554,"Проблему решили временно, надеюсь люк поменяют",3934520,1,0,1,0,0,0,0
555,"Отреагировали оперативно, проблему решили и исправили по звонку телефона! 
 ",3934549,5,1,0,0,0,1,0
556,Ольга Птушкина  очень быстро и грамотно решила наш вопрос .Большое спасибо !!!,3934613,5,1,0,0,1,0,1
557,очень оперативно внесли данные по поверке,3934651,5,0,0,0,0,1,1
558,Быстро среагировали,3934970,5,0,0,0,0,1,0
559,очень оперативно внесли данные по поверке ,3934651,5,1,0,1,0,0,0
560,"Спасибо Вам большое, быстро среагировали",3934695,5,1,0,0,0,1,1
561,Спасибо.,3934816,5,1,0,0,0,0,0
562,Решилось само собой,3934911,2,0,1,0,0,0,0
563,"Сантехник очень быстро отключил воду, а сварщик очень быстро и качественно устранил проблему вновь, надеюсь, больше не увидимся ",3934913,5,1,0,0,0,0,0
564,Быстро среагировали ,3934970,5,0,0,0,0,1,0
565,"Все сделали в течении часа, спасибо.",3935103,5,1,0,0,0,1,1
566,"Спасибо, большое!",3935129,5,1,0,0,0,0,0
567,Большое спасибо я! Оперативно все сделали!,3935268,5,1,0,0,0,1,0
568,Спасибо за фотоотчет,3935291,5,0,0,1,0,0,0
569,"Спасибо большое, свет сделали",3935478,5,1,0,0,0,0,1
570,Быстро отреагировали. Пятерка!👍 Спасибо.,3935483,5,1,0,1,0,1,0
571,Огромное спасибо ,3935491,5,1,0,0,0,0,1
572,"Спасибо
",3935546,5,1,0,0,0,0,0
573,Мастер своего дела!,3935575,5,1,0,0,1,0,0
574,спасибо!!,3935593,5,1,0,0,0,0,0
575,отличный сантехник. спасибо за работу!,3935602,5,1,0,0,1,0,0
576,замечания устранены,3935655,5,0,0,0,0,0,1
577,Оперативно исправили неполадку. Спасибо! ,3935801,5,1,0,0,0,1,0
578,Огромная благодарность за оперативное и корректное решение моего вопроса!🌸,3935871,5,1,0,1,0,1,0
579,Супер! Спасибо большое!,3935906,5,1,0,0,0,0,0
580,"спасибо, быстро и качественно ",3936172,5,1,0,1,0,1,0
581,"Татьяна - супер сотрудник, оперативно решает все вопросы, касательно аренды парковочного места в Пригороде Лесном.   Татьяна максимально ответственный и отзывчивый человек!  Лучший сотрудник в Управляющей компании, по моему личному мнению!",3936198,5,1,0,0,1,0,0
582,Реагировали быстро отключили сигнализацию пожарный тревоги. Спасибо огромное! ,3936258,5,1,0,0,0,1,1
583,спасибо что проверили ! пеекрасная работа!,3936309,5,1,0,0,0,0,1
584,Спасибо! Оперативно!,3936353,5,1,0,0,0,1,0
585,"ответили быстро, но увы ничего не смогут сделать.",3936497,3,0,1,0,0,0,0
586,спасибо за быстрое устранение проблемы ,3936508,5,1,0,0,0,1,0
587,"Здравствуйте! Большое спасибо дежурному диспетчеру-перезвонил в течение 5 минут от подачи заявки. Благодарю за сотрудничество! С уважением, Ю. П. ",3936546,5,1,0,0,1,0,0
588,"Четко и понятно, спасибо",3936571,5,1,0,0,0,0,0
589,"Спасибо, оператор умничка",3936715,5,1,0,0,1,0,0
590,быстро ,3936736,5,0,0,0,0,1,0
591,Спасибо большое. Проблему мастер решил быстро и качественно 👍!!!,3936835,5,1,0,1,0,1,0
592,"Спасибо, Валерию! Все исправил, теперь дома тишина и спокойствие☺️",3936898,5,1,0,0,1,0,1
593,"Лифт работает,,спасибо.",3936999,5,1,0,0,0,0,0
594,"Спасибо , оперативно и качественно ",3937078,5,1,0,1,0,1,0
595,"специалисты приехали быстро, спустили грузовой застрявший лифт на 1 этаж, освободили человека. большое спасибо 
",3937325,5,1,0,0,0,1,0
596,спасибо. ,3937333,5,1,0,0,0,0,0
597,"Ольга, большое спасибо. Хорошего дня.",3937478,5,1,0,0,1,0,0
598,отлично ,3937646,5,1,0,0,0,0,0
599," большое спасибо! 

",3937780,5,1,0,0,0,0,0
600,"надписи убраны, но внешний вид панелей щита испорчен. остались царапины. ",3937801,4,0,1,0,0,0,0
601,"Все, решили оперативно ",3937869,5,1,0,0,0,1,0
602,спасибо большое за оперативность 🤝,3937942,5,1,0,0,0,1,0
603,"Работы непосредственно по замене сливной фурнитуры ванны выполнены быстро и качественно. А вот согласование работ - процесс бесконечный, к сожалению и не в пользу собственника. Хорошо, что удалось достичь консенсуса. ",3938059,5,1,0,1,0,1,0
604,Большое спасибо!,3938086,5,1,0,0,0,0,0
605,Оперативно! Спасибо ,3938404,5,1,0,0,0,1,0
606,"Устранили быстро. Хотелось бы заметить в целом недостатки крепления как в проектировании, когда в металлическую дверь доводчики крепятся обычными саморезами. По кол-ву дырок от старых мест видно, что сама по себе методика крепления не продумана. Саморез в металл - слабо живущее решение, с недолгим жизненным циклом.",3938452,4,0,1,0,0,0,0
607,очень быстро ответили,3938472,5,0,0,0,0,1,0
608,"Мастер достаточно быстро решил наш вопрос. Надо было повернуть направление регулятора температуры на батарее отопления в другую сторону. После выполнения работы аккуратно все протер,что приятно. Большое спасибо! ",3938558,5,1,0,1,1,0,1
609,Все оперативно и качественно!,3938590,5,1,0,1,0,1,0
610,Все было сделано быстро и профессионально ,3938597,5,1,0,0,0,1,1
611,Хороший сотрудник. Приятно общаться и получать ответы на все вопросы. ,3938642,5,0,0,0,1,0,1
612,Мастер своего дела !,3938658,5,0,0,0,1,0,0
613,Очень быстро! Оперативно ответили! Спасибо!!!,3938725,5,1,0,0,0,1,1
614,Супер!!!,3938788,5,1,0,0,0,0,0
615,спасибо большое ,3938844,5,1,0,0,0,0,0
616,Спасибо мастерам за оперативность !!! ,3938879,5,0,0,0,1,1,0
617,Спасибо за работу 🤝 ,3938886,5,0,0,0,0,0,1
618,Спасибо что быстро ответили👍,3938894,5,0,0,0,0,1,1
619,спасибо большое вам за качественную работу.,3939087,5,0,0,1,0,0,1
620,Спасибо Вам за понимание 👍,3939089,5,0,0,0,0,0,1
621,Оперативно. Спасибо,3939121,5,1,0,0,0,1,0
622,Очень приятный инженер ,3939235,5,0,0,0,1,0,0
623,Благодарю за починку лифта! Работает!,3939342,5,1,0,0,0,0,0
624,"оперативно сделали, спасибо",3939350,5,1,0,0,0,1,0
625,Быстро и четко)спасибо,3939447,5,1,0,1,0,1,0
626,Спасибо большое за уборку!,3939683,5,1,0,0,0,0,0
627,"молодцы, даже нашли время проконсультировать",3939792,5,1,0,1,0,0,0
628,Молодцы  большое спасибо Оксана!,3939998,5,1,0,0,1,0,0
629,спасибо. быстро и качественно ,3940060,5,1,0,1,0,1,0
630,супер! спасибо,3940089,5,1,0,0,0,0,0
631,"супер, теперь кнопка светится",3940096,5,1,0,0,0,0,0
632,"Пришли,, окна подкрутили. Быстро. ",3940375,5,1,0,0,0,1,1
633,"спасибо что поставили, теперь ждем отопления чтоб понять работает или нет. ",3940395,5,1,0,0,0,0,0
634,спасибо Вам за работу ,3940684,5,1,0,0,0,0,0
635,"быстро, для подъезда вполне хорошо)",3940717,5,1,0,0,0,0,0
636,Спасибо. Все понятно и благодушно разъяснили.,3940757,5,1,0,1,0,0,0
637,Быстро устранили👍🏻,3940842,5,1,0,0,0,0,0
638,"Мастер все сделал быстро. Все отлично, работой довольна",3940861,5,1,0,1,1,0,0
639,Спасибо за оперативную обратную связь 🫶,3940903,5,1,0,0,0,1,0
640,спасибо за грамотного специалиста! ,3940995,5,1,0,0,1,0,1
641,отличный специалист Максим Луговой,3941055,5,0,0,0,1,0,0
642,очень оперативно! спасибо огромное! ,3941064,5,1,0,0,0,1,0
643,"Большое спасибо, всё сделали",3941141,5,1,0,0,0,0,1
644,Отличная работа! очень профессиональный и вежливый сотрудник!,3941162,5,1,0,0,1,0,0
645,спасибо оперативно!! ;,3941255,5,1,0,0,0,1,0
646,"быстро сработали, позвонили, сказали, что все хорошо ,ложная тревога ",3941310,5,1,0,0,0,1,1
647,быстро и оперативно демонтировали замок,3941386,5,1,0,0,0,1,0
648,Спасибо за оперативную работу !!!,3941438,5,1,0,0,0,1,0
649,"Оперативно, благодарю!",3941457,5,1,0,0,0,1,0
650,Большое спасибо сантехнику! ,3941503,5,1,0,0,1,0,0
651,супер-быстро помогли. по телефону помогли все решить. отлично!,3941548,5,1,0,0,0,1,1
652,Лифт снова работает. Заявку исполнили очень быстро,3941672,5,1,0,0,0,1,0
653,Быстро и четко!!!,3941682,5,1,0,1,0,1,0
654,Если бы не сотрудник УК Никита - уборщицы бы никогда нормально не помыли нам этаж,3941724,5,1,0,0,1,0,0
655,"Проблема устранена, достаточно оперативно ",3941762,5,1,0,0,0,1,0
656,"Спасибо сотруднику ук Никита, благодаря ему нам нормально  помыли  этаж, спасибо большое",3941800,5,1,0,0,1,0,0
657,"Вопросов нет, молодцы. Супер оперативно ",3941819,5,1,0,0,0,1,1
658,"всё прошло отлично, заранее позвонил предупредил о приходе, сделал всё быстро, вежливый, разулся хотя я говорил что не нужно у нас пыльно. Спасибо.",3941927,5,1,0,1,1,1,1
659,Благодарю от имени деток и их родителей!,3941951,5,1,0,0,0,0,1
660,"Отлично, спасибо большое ",3942001,5,1,0,0,0,0,0
661,Спасибо большое!),3942249,5,1,0,0,0,0,0
662,Благодарю.,3942254,5,1,0,0,0,0,0
663,Оперативно мастер подошёл. Все неполадки устранены. Мастер - тактичный молодой человек. Спасибо! ,3942424,5,1,0,0,1,1,0
664,Исправлено ,3942447,5,1,0,0,0,0,0
665,Благодарю за оперативность ))Хорошего дня),3942595,5,0,0,0,0,1,0
666,Большое спасибо🌹,3942627,5,1,0,0,0,0,0
667,"Оперативно решили вопрос, спасибо.",3942634,5,1,0,0,0,1,0
668,Замечательный мастер ,3942777,5,0,0,0,1,0,0
669,Скорость супер ,3942812,5,0,0,0,0,1,0
670,Быстро проучила,3942818,5,1,0,1,0,0,0
671,Роман и его коллега СУПЕР специалисты 👍🏻👍🏻👍🏻,3942831,5,0,0,1,1,0,0
672,Спасибо большое Мария🤝 👍,3942841,5,0,0,0,1,0,0
673,"Огромное спасибо, за помощь и проделанную Вами работу!",3942887,5,1,0,0,0,0,0
674,Молодцы,3942907,4,1,0,0,0,0,0
675,Большое спасибо Ольге - очень помогла и ответила на все вопросы ❤️❤️❤️,3943072,5,1,0,1,1,0,0
676,выполнена отлично!,3943196,5,1,0,0,0,0,0
677,Спасибо за быстрое реагирование заявки ,3943364,5,1,0,0,0,1,0
678,"все работает,спасибо",3943589,5,1,0,0,0,0,0
679,супербыстро. спасибо,3943607,5,1,0,0,0,1,0
680,Огромное спасибо сантехнику Геннадию за качественно оказанную услугу и профессионализм. Приятно иметь дело с такими людьми.,3943634,5,1,0,0,1,0,1
681,Спасибо! Вопрос решен в сжатые сроки и была предоставлена обратная связь.,3944008,5,1,0,0,0,1,1
682,Оперативно ,3944074,5,0,0,0,0,1,0
683,электрик снял показания. будем ждать ответ,3944164,5,0,1,0,0,0,0
684,"спасибо, оперативно

",3944245,5,1,0,0,0,1,0
685,Спасибо. ,3944308,5,1,0,0,0,0,0
686,спасибо огромное за понимание!,3944488,5,0,0,1,0,0,1
687,Течь устранена,3944509,5,1,0,0,0,0,0
688,"Спасибо за проверку, за обратный звонок и разъяснение ",3944648,5,1,0,1,0,0,1
689,"спасибо, но можно убирать регулярно и  без заявок",3944742,5,0,1,0,0,0,0
690,Быстро! Оперативно,3944810,5,1,0,1,0,1,0
691,Спасибо большое!!!,3944852,5,1,0,0,0,0,0
692,Оперативно решила проблему),3944861,5,1,0,0,0,1,0
693,Всё быстро и оперативно!,3944876,5,1,0,0,0,1,0
694,"Спасибо большое, всё отлично👍",3944996,5,1,0,1,0,0,0
695,Все быстро и в срок. Спасибо ,3945026,5,1,0,0,0,1,0
696,очень добрая женщина,3945035,5,0,0,0,1,0,0
697,Спасибо Вам большое 🌹,3945081,5,1,0,0,0,0,0
698,"небольшая неточность в консультации- нужно набрать код от домофона и нажать ""колокольчик"" на панели, иначе в домашний подъезд не пропускают ;)",3945243,4,0,1,0,0,0,0
699,Супер специалисты,3945310,5,0,0,0,1,0,0
700,Все на высшем уровне!,3945457,5,1,0,1,0,0,1
701,Отлично !,3945577,5,1,0,0,0,0,0
702,"Выполнено быстро, но хотелось бы, чтобы этого не происходило.",3945582,5,0,0,0,0,1,0
703,"спасибо
",3945682,5,1,0,0,0,0,0
704,все рассказали и объяснили,3945698,5,0,0,1,0,0,0
705,"Спасибо большое!
",3945713,5,1,0,0,0,0,0
706,"Спасибо большое, все отлично! ",3945720,5,1,0,0,0,0,0
707,"все оперативно, быстро, спасибо! ",3945746,5,1,0,0,0,1,0
708,Очень оперативно!,3945765,5,0,0,0,0,1,0
709,"Спасибо. На удивление, вопрос был решён быстро и оперативно. ",3945794,5,1,0,0,0,1,0
710,"Решил ситуацию быстро, спасибо.
",3945901,5,1,0,0,0,1,0
711,"Спасибо большое, все выполнено быстро и качественно 😊👍",3946019,5,1,0,1,0,1,0
712,Андрей всё сделал хорошо ,3946026,5,0,0,1,1,0,0
713,"Спасибо, очень оперативно!",3946151,5,1,0,0,0,1,0
714,Хорошо ,3946206,5,1,0,0,0,0,0
715,"да, спасибо,теперь лифт заработал",3946274,5,1,0,0,0,0,0
716,Специалист прекрасно выполнил работу! Благодарна за отзывчивость. Больше бы таких сотрудников.,3946414,5,0,0,1,1,0,0
717,"супер
спасибо ",3946559,5,1,0,0,0,0,0
718,"быстро решили проблему
",3946690,5,1,0,0,0,1,0
719,Очень оперативно справились 👍🏼,3946716,5,1,0,0,0,1,0
720,Спасибо очень быстро отреагировали,3946729,5,0,0,0,0,1,0
721,"Все сделано оперативно, мастер Воронков Сергей сделал все быстро ",3946768,5,0,0,0,1,1,0
722,Очень оперативно решили проблему,3946799,5,1,0,0,0,1,0
723,"Все хорошо, спасибо ",3946853,5,1,0,0,0,0,0
724,Добрый день. Работы исполнены. Благодарю.,3946899,5,1,0,0,0,0,0
725,"Спасибо Татьяне, всю информацию обновили",3946934,5,0,0,0,1,0,0
726,Спасибо за оперативность,3947157,5,1,0,0,0,1,0
727,спасибо за оперативность!!,3947219,5,1,0,0,0,1,0
728,"Очень подробно, большое спасибо за консультацию! ",3947311,5,1,0,1,0,0,0
729,Огромное спасибо Сергею,3947432,5,1,0,0,1,0,0
730,"отзывчивые, приятные, готовы были сразу оформить акт, но ещё раз проверили сушилку, и обнаружили, сто есть кнопка включения",3947727,5,1,0,1,0,0,0
731,"Спасибо что в нашей УК есть такие специалисты.
Причина отсутствия электричества была найдена сразу и быстро устранена.",3947806,5,1,0,1,0,1,0
732,Большое спасибо за роботу.,3947834,5,1,0,0,0,0,0
733,Прекрасно выполненная работа. Получил ценную рекомендацию на будущее. Спасибо!,3947929,5,1,0,1,0,0,0
734,быстро отключили пожарную вытяжку,3947984,5,1,0,0,0,0,0
735,Потрясающе 😻 ,3948043,5,1,0,0,0,0,0
736,Сделали все быстро и качественно ,3948159,5,1,0,1,0,1,0
737,"Быстро приехал мастер , составили акт . ",3948185,5,1,0,0,0,1,1
738,"Спасибо, Татьяна!!",3948217,5,1,0,0,1,0,0
739,"супер мега оперативно, спасибо !)
",3948226,5,1,0,1,0,1,0
740,Отличная работа мастера. Быстро и качественно,3948403,5,1,0,1,1,1,0
741,"Большое спасибо за своевременную обратную связь! Всё чётко объяснили,культурно!",3948418,5,1,0,1,0,0,1
742,"отличный мастер!
большое спасибо за помощь!",3948436,5,1,0,0,1,0,0
743,Благодарим за оперативность и понимание,3948528,5,1,0,1,0,1,0
744,Супер,3948623,5,1,0,0,0,0,0
745,Спасибо большое за оперативность и качество!❤,3948632,5,1,0,1,0,1,0
746,"спасибо, что решили свою проблему, а то как то не очень, платишь вовремя, а тебе про долг пишут. ",3948735,5,0,1,0,0,0,0
747,"разобрались, спасибо ",3948738,5,1,0,0,0,0,0
748,Спасибо 👍,3948896,5,1,0,0,0,0,0
749,"Мастер быстро пришёл, быстро понял в чем проблема и быстро устранил её, в общем всё отлично, спасибо ",3948958,5,1,0,1,1,1,0
750,Работа выполнена на отлично! Быстро и качественно! Спасибо большое! ,3949033,5,1,0,1,0,1,0
751,спасибо. молодцы!,3949214,5,1,0,0,0,0,0
752,Спасибо за быстрое и качественное решение вопроса ,3949304,5,1,0,1,0,1,0
753,Все отлично! Специалист пришёл через 30 минут после заявки. Все оперативно починил. ,3949394,5,1,0,0,0,1,0
754,спасибо огромное. но уборка лифта это временное решение проблеммы. потому что в них гадят систематически. просьба выявить и наказать нарушителей,3949561,5,0,1,0,0,0,0
755,"Мастер - Самый Лучший! Спасибо Вам Огромное за таких сотрудников!!!! 
",3949596,5,1,0,0,1,0,1
756,"Спасибо! Так быстро сделали , красивую светодиодную лампу поставили ",3949613,5,1,0,1,0,0,0
757,Спасибо большое.,3949634,5,1,0,0,0,0,0
758,"оперативно отреагировали на заявку, и устранили.",3949687,5,1,0,1,0,1,0
759,Доброго дня! Спасибо за таких Прекрасных Сотрудников! ,3949875,5,0,0,0,1,0,0
760,Спасибо за оперативность. После укладки плитки остались незаделанные швы на стыке. Для сравнения на 1 этаже в холле швы ровно закрыты. Просьба завершить работу до конца. ,3949884,5,0,1,0,0,0,0
761,Очень быстро,3949914,5,0,0,0,0,1,0
762,Спасибо. Отлично.,3950076,5,1,0,0,0,0,0
763,"заявка выполнена. 
Со слов электрика заявка выполнена. В квартире собственник не был. Там не проживает.. ",3950162,5,0,1,0,0,0,0
764,Спасибо,3950351,5,1,0,0,0,0,0
765,мастер пришёл быстро. Все быстро сделал. ,3950433,5,1,0,0,0,1,1
766,Благодарю за оперативность ,3950461,5,0,0,0,0,1,0
767,"Огромнейшее спасибо.
Максимально быстро и качественно!!!
Просто сотрудник месяца 
",3950683,5,1,0,1,1,1,0
768,Спасибо Вам большое 🙏 за оперативность👍и качество !!!🤝,3950754,5,1,0,1,0,1,0
769,"Оперативно, спасибо ",3950865,5,1,0,0,0,1,0
770,"Вот это скорость 😁👍
Спасибо! ",3950893,5,1,0,0,0,1,0
771,спасибо за оперативность ,3951124,5,1,0,0,0,0,0
772,Шикарный специалист. Спасибо за отличную работу и скорость,3951189,5,1,0,1,1,1,0
773,Ребята молодцы!,3951201,5,0,0,0,1,0,0
774,Спасибо за обратную связь!,3951216,5,0,0,1,0,0,0
